text_cbf_cosine,y_true,y_pred_ml,y_pred_baseline
0.3223719093409528,0,0,0
0.13483997249264842,0,0,0
0.4537426064865151,0,0,0
0.17347216662217774,0,0,0
0.18552705963032043,0,0,0
0.06250488338477911,0,0,0
0.27252914173655357,0,0,0
0.16437632252448092,0,0,0
0.14203421463973834,0,0,0
0.37088017346488666,0,0,0
0.13400964630682446,0,0,0
0.34578461527953364,0,0,0
0.6144342497752621,1,1,0
0.3360752125379179,0,0,0
0.7578391517481176,1,1,0
0.13339459376998314,0,0,0
0.235245652011805,0,0,0
0.3278946186694453,0,0,0
0.26438528167622916,0,0,0
0.7304371715202215,1,1,0
0.17464709697919362,0,0,0
0.7479173608477658,1,1,0
0.3688683595985794,0,0,0
0.24435712499943754,0,0,0
0.8436972995307609,1,1,0
0.3170632437371139,0,0,0
0.17183452784475803,0,0,0
0.1611859546704764,0,0,0
0.16295602900550396,0,0,0
0.10239842231794336,0,0,0
0.20297151048817255,0,0,0
0.17063023229633048,0,0,0
0.22147019900891646,0,0,0
0.3017972728967141,0,0,0
0.8370125270875429,1,1,0
0.1761174884190867,0,0,0
0.30692490702242564,0,0,0
0.2739271345377727,0,0,0
0.35619780582827415,0,0,0
0.8350029582106847,1,1,0
0.7597371763975863,1,1,0
0.7584812152355406,1,1,0
0.22463588404921417,0,0,0
0.12666009927622474,0,0,0
0.11157311356586717,0,0,0
0.2534897002097911,0,0,0
0.10753350946329407,0,0,0
0.28387687575088,0,0,0
0.2942835733481918,0,0,0
0.7742690238977156,1,1,0
0.33531643627641106,0,0,0
0.11363636363636363,0,0,0
0.2186682888374381,0,0,0
0.2721941142904118,0,0,0
0.2371296597419439,0,0,0
0.13637929145080852,0,0,0
0.21732957198030567,0,0,0
0.10562503704960498,0,0,0
0.2987829564428479,0,0,0
0.14704292441876154,0,0,0
0.17712297710801905,0,0,0
0.5682911427735109,0,1,0
0.19551857514700036,0,0,0
0.15686609568480062,0,0,0
0.29433147307547786,0,0,0
0.8027550894033749,1,1,0
0.2958751215328648,0,0,0
0.2758802939230217,0,0,0
0.13537278845914205,0,0,0
0.23170417959849887,0,0,0
0.28260869565217395,0,0,0
0.1672484020014181,0,0,0
0.3790930645716015,0,0,0
0.1898315991504998,0,0,0
0.8036545068926085,1,1,0
0.6903536563713408,1,1,0
0.1570702156093858,0,0,0
0.16790868250832083,0,0,0
0.34706240176342557,0,0,0
0.16748647813902068,0,0,0
0.28594313179479847,0,0,0
0.10397504898200725,0,0,0
0.241847439873248,0,0,0
0.1645701471510958,0,0,0
0.07956600627155523,0,0,0
0.16204530402191716,0,0,0
0.8109307588519343,1,1,0
0.6092620358623089,1,1,0
0.22224365879413555,0,0,0
0.23170417959849887,0,0,0
0.21796663178739928,0,0,0
0.28306925853614895,0,0,0
0.22171101330443493,0,0,0
0.039367332958947815,0,0,0
0.28219265771995605,0,0,0
0.21042247041697137,0,0,0
0.22831650647385773,0,0,0
0.14226859880591575,0,0,0
0.15957503245004326,0,0,0
0.20403591348143726,0,0,0
0.13038857556375202,0,0,0
0.13279059849505107,0,0,0
0.2932893076358311,0,0,0
0.06984984452838908,0,0,0
0.23543547789870936,0,0,0
